ID,Twitter URL,Local Image Path,Reply Text
48,https://twitter.com/AltPhinny/status/1382129232512434177/photo/1,downloaded_images/twitter_1382129232512434177.jpg,I get my daily Vitamin C!
49,https://twitter.com/AltPhinny/status/1382129333263863808/photo/1,downloaded_images/twitter_1382129333263863808.jpg,This doesn't look right...
50,https://twitter.com/AltPhinny/status/1382129377941540864/photo/1,downloaded_images/twitter_1382129377941540864.jpg,Welcome to my house!
51,https://twitter.com/AltPhinny/status/1382129492618002435/photo/1,downloaded_images/twitter_1382129492618002435.jpg,I hope you brought something to the potluck
52,https://twitter.com/AltPhinny/status/1382129584980828163/photo/1,downloaded_images/twitter_1382129584980828163.jpg,I love my new mittens and earmuffs!
53,https://twitter.com/AltPhinny/status/1382129794159108099/photo/1,downloaded_images/twitter_1382129794159108099.jpg,Who enjoys eating their fur?! Bad loves playing cruel tricks >:(
54,https://twitter.com/AltPhinny/status/1382129919153610753/photo/1,downloaded_images/twitter_1382129919153610753.jpg,Let me out!!
55,https://twitter.com/AltPhinny/status/1382326298551447554/photo/1,downloaded_images/twitter_1382326298551447554.jpg,Time for bed
56,https://twitter.com/AltPhinny/status/1382326333687148546/photo/1,downloaded_images/twitter_1382326333687148546.jpg,What's up?
57,https://twitter.com/AltPhinny/status/1382326374090817538/photo/1,downloaded_images/twitter_1382326374090817538.jpg,Ratception
58,https://twitter.com/AltPhinny/status/1382326459415605249/photo/1,downloaded_images/twitter_1382326459415605249.jpg,I'm a bag of fur!
59,https://twitter.com/AltPhinny/status/1382326518416879616/photo/1,downloaded_images/twitter_1382326518416879616.jpg,Atten-HUT!
60,https://twitter.com/AltPhinny/status/1382326553690968067/photo/1,downloaded_images/twitter_1382326553690968067.jpg,Let me tell you something...I like turtles.
61,https://twitter.com/AltPhinny/status/1382326637073678337/photo/1,downloaded_images/twitter_1382326637073678337.jpg,I'm a Ratstronaut!
62,https://twitter.com/AltPhinny/status/1382326741335695360/photo/1,downloaded_images/twitter_1382326741335695360.jpg,Why's the camera in my face?
63,https://twitter.com/AltPhinny/status/1382326809631592456/photo/1,downloaded_images/twitter_1382326809631592456.jpg,I wish they made these in dog sizes
64,https://twitter.com/AltPhinny/status/1382326914791145474/photo/1,downloaded_images/twitter_1382326914791145474.jpg,Not too happy about that
65,https://twitter.com/AltPhinny/status/1382326974950031364/photo/1,downloaded_images/twitter_1382326974950031364.jpg,When will you go to bed?
66,https://twitter.com/AltPhinny/status/1382327064267788289/photo/1,downloaded_images/twitter_1382327064267788289.jpg,New blankies are so comfy
67,https://twitter.com/AltPhinny/status/1382327429369303040/photo/1,downloaded_images/twitter_1382327429369303040.jpg,Could you get the remote? I'm too wrapped up in the blanket.
68,https://twitter.com/AltPhinny/status/1382327498881531905/photo/1,downloaded_images/twitter_1382327498881531905.jpg,"Let's continue the walk, "
69,https://twitter.com/AltPhinny/status/1382327529424498692/photo/1,downloaded_images/twitter_1382327529424498692.jpg,ARE SKEPPY AND BAD MEETING UP?!
70,https://twitter.com/AltPhinny/status/1382327647133388800/photo/1,downloaded_images/twitter_1382327647133388800.jpg,GIMME DAT FOOD!
71,https://twitter.com/AltPhinny/status/1382327720118484997/photo/1,downloaded_images/twitter_1382327720118484997.jpg,It's too dark!
72,https://twitter.com/AltPhinny/status/1382327885491539969/photo/1,downloaded_images/twitter_1382327885491539969.jpg,I HATE BATHS!
73,https://twitter.com/AltPhinny/status/1382327938729840649/photo/1,downloaded_images/twitter_1382327938729840649.jpg,Time to dry off
74,https://twitter.com/AltPhinny/status/1382328008388837378/photo/1,downloaded_images/twitter_1382328008388837378.jpg,I smell treats
75,https://twitter.com/AltPhinny/status/1382328120699719688/photo/1,downloaded_images/twitter_1382328120699719688.jpg,"I wish dogs could eat chocolate (don't give your dog chocolate, it's toXic)"
76,https://twitter.com/AltPhinny/status/1382328169089355778/photo/1,downloaded_images/twitter_1382328169089355778.jpg,Are there games on your phone?
77,https://twitter.com/AltPhinny/status/1382328230343016450/photo/1,downloaded_images/twitter_1382328230343016450.jpg,POg
78,https://twitter.com/AltPhinny/status/1382329152787873797/photo/1,downloaded_images/twitter_1382329152787873797.jpg,Just passed my driving test! Now I'm getting grOceries from Wal-Mart.
79,https://twitter.com/AltPhinny/status/1382329197981491202/photo/1,downloaded_images/twitter_1382329197981491202.jpg,TREATS
80,https://twitter.com/AltPhinny/status/1382329293619990534/photo/1,downloaded_images/twitter_1382329293619990534.jpg,I will do anything for a snack
81,https://twitter.com/AltPhinny/status/1382329378810515456/photo/1,downloaded_images/twitter_1382329378810515456.jpg,Num num num num!
82,https://twitter.com/AltPhinny/status/1382725047547260931/photo/1,downloaded_images/twitter_1382725047547260931.jpg,Plop!
83,https://twitter.com/AltPhinny/status/1382725164341809153/photo/1,downloaded_images/twitter_1382725164341809153.jpg,I hate cages...
84,https://twitter.com/AltPhinny/status/1382725471847264258/photo/1,downloaded_images/twitter_1382725471847264258.jpg,Time to party!
85,https://twitter.com/AltPhinny/status/1382725522174656514/photo/1,downloaded_images/twitter_1382725522174656514.jpg,Tell me what you think is on my mind
86,https://twitter.com/AltPhinny/status/1382725582132236288/photo/1,downloaded_images/twitter_1382725582132236288.jpg,I have very big eyes
87,https://twitter.com/AltPhinny/status/1382725812772814849/photo/1,downloaded_images/twitter_1382725812772814849.jpg,I enjoy taking strolls in the park
88,https://twitter.com/AltPhinny/status/1382726373664522240/photo/1,downloaded_images/twitter_1382726373664522240.jpg,I've heard I'm a snorer
89,https://twitter.com/AltPhinny/status/1382726429729824768/photo/1,downloaded_images/twitter_1382726429729824768.jpg,I get treats when I stick my tongue out
90,https://twitter.com/AltPhinny/status/1382726479159648260/photo/1,downloaded_images/twitter_1382726479159648260.jpg,I didn't get any treats today ;(
91,https://twitter.com/AltPhinny/status/1382728594842136577/photo/1,downloaded_images/twitter_1382728594842136577.jpg,Why is there a camera in my face?! I'm trying to sleep!
92,https://twitter.com/AltPhinny/status/1382728667269373955/photo/1,downloaded_images/twitter_1382728667269373955.jpg,Subscribe to BadBoyHalo so I can get toys other than paper plates
93,https://twitter.com/AltPhinny/status/1382728738232795138/photo/1,downloaded_images/twitter_1382728738232795138.jpg,GIMME!!
94,https://twitter.com/AltPhinny/status/1382728797028499459/photo/1,downloaded_images/twitter_1382728797028499459.jpg,"uhhhhh, I'm not part of this"
95,https://twitter.com/AltPhinny/status/1382728843648196612/photo/1,downloaded_images/twitter_1382728843648196612.jpg,"Why are you livestreaming again?"
96,https://twitter.com/AltPhinny/status/1382728911558123521/photo/1,downloaded_images/twitter_1382728911558123521.jpg,"Chocolate, my forbidden pleasure..."
97,https://twitter.com/AltPhinny/status/1382736854684930048/photo/1,downloaded_images/twitter_1382736854684930048.jpg,Kids these days...
98,https://twitter.com/AltPhinny/status/1388327483427131395/photo/1,downloaded_images/twitter_1388327483427131395.jpg,I have a PhD in looking cute
99,https://twitter.com/AltPhinny/status/1382743183080194049/photo/1,downloaded_images/twitter_1382743183080194049.jpg,"I don't really understand Minecraft, to be honest"
100,https://twitter.com/AltPhinny/status/1382744016907812870/photo/1,downloaded_images/twitter_1382744016907812870.jpg,Why does Bad keep teasing me?
101,https://twitter.com/AltPhinny/status/1382744058913820674/photo/1,downloaded_images/twitter_1382744058913820674.jpg,zzzzzz...
102,https://twitter.com/AltPhinny/status/1382744111606865922/photo/1,downloaded_images/twitter_1382744111606865922.jpg,"I'm taller than TommyInnit, Dream, and Wilbur combined (after all your constant nagging, I have decided to add Ranboo to this statement as well. Thanks for nothing, you annoying humans)"
103,https://twitter.com/AltPhinny/status/1382766850518433793/photo/1,downloaded_images/twitter_1382766850518433793.jpg,I'm an expert at looking cute
104,https://twitter.com/AltPhinny/status/1382767133659136004/photo/1,downloaded_images/twitter_1382767133659136004.jpg,Why am I so blurry?
105,https://twitter.com/AltPhinny/status/1382767201946591234/photo/1,downloaded_images/twitter_1382767201946591234.jpg,I'm intrigued
106,https://twitter.com/AltPhinny/status/1382767285329408001/photo/1,downloaded_images/twitter_1382767285329408001.jpg,My tongue looks like a snake
107,https://twitter.com/AltPhinny/status/1382767371157397505/photo/1,downloaded_images/twitter_1382767371157397505.jpg,"You know, you're not a disappointment"
108,https://twitter.com/AltPhinny/status/1382823611682193413/photo/1,downloaded_images/twitter_1382823611682193413.jpg,I NOW HATE WATER BOTTLES IN ADDITION TO THE NEIGHBOR'S CAT!
109,https://twitter.com/AltPhinny/status/1383048535923421187/photo/1,downloaded_images/twitter_1383048535923421187.jpg,"I'm not crazy, YOU'RE crazy!!"
110,https://twitter.com/AltPhinny/status/1383048621000654848/photo/1,downloaded_images/twitter_1383048621000654848.jpg,LET. ME. OUT.
111,https://twitter.com/AltPhinny/status/1383048738051084288/photo/1,downloaded_images/twitter_1383048738051084288.jpg,I've always wondered what the white part of my eye is (it's a sclera)
112,https://twitter.com/AltPhinny/status/1383048858465357834/photo/1,downloaded_images/twitter_1383048858465357834.jpg,I wasn't able to get my Youtooz ;( (I got it!!)
113,https://twitter.com/AltPhinny/status/1383048882872053769/photo/1,downloaded_images/twitter_1383048882872053769.jpg,This excludes @Quackity for kicking me
114,https://twitter.com/AltPhinny/status/1383049120345161736/photo/1,downloaded_images/twitter_1383049120345161736.jpg,Bad likes taking pictures of when I'm crying >:(
115,https://twitter.com/AltPhinny/status/1383049630594764800/photo/1,downloaded_images/twitter_1383049630594764800.jpg,I'm a cutie without putting in any eFfort
116,https://twitter.com/AltPhinny/status/1383049731761434625/photo/1,downloaded_images/twitter_1383049731761434625.jpg,ACHOO!!
117,https://twitter.com/AltPhinny/status/1383049844231651329/photo/1,downloaded_images/twitter_1383049844231651329.jpg,I sense some itching in the very near future...
118,https://twitter.com/AltPhinny/status/1383050003149697027/photo/1,downloaded_images/twitter_1383050003149697027.jpg,ARE YOU TEASING ME AGAIN BECAUSE I CAN'T EAT CHOCOLATE!?
119,https://twitter.com/AltPhinny/status/1383050191473872896/photo/1,downloaded_images/twitter_1383050191473872896.jpg,I've even a cutie upside-down
120,https://twitter.com/AltPhinny/status/1383050341948743681/photo/1,downloaded_images/twitter_1383050341948743681.jpg,I'm not liking hoW my neck feels
121,https://twitter.com/AltPhinny/status/1383050482399199232/photo/1,downloaded_images/twitter_1383050482399199232.jpg,"This is humiliAting, Bad"
122,https://twitter.com/AltPhinny/status/1383050845416259586/photo/1,downloaded_images/twitter_1383050845416259586.jpg,You're not posting pictures of me like this to Twitter!
123,https://twitter.com/AltPhinny/status/1383051396510007298/photo/1,downloaded_images/twitter_1383051396510007298.jpg,"Fine, you got your photo-op, "
124,https://twitter.com/AltPhinny/status/1383051464550014989/photo/1,downloaded_images/twitter_1383051464550014989.jpg,I'm feeling dizzy...
125,https://twitter.com/AltPhinny/status/1383051935251566593/photo/1,downloaded_images/twitter_1383051935251566593.jpg,I'm not sure what this image is supposed to be
126,https://twitter.com/AltPhinny/status/1383052013018173440/photo/1,downloaded_images/twitter_1383052013018173440.jpg,PantinG is supposed to make my temperature cool down
127,https://twitter.com/AltPhinny/status/1383052544793010176/photo/1,downloaded_images/twitter_1383052544793010176.jpg,I looK like a rose with seeds
128,https://twitter.com/AltPhinny/status/1383052612602368005/photo/1,downloaded_images/twitter_1383052612602368005.jpg,I'm currently playing hide and seek
129,https://twitter.com/AltPhinny/status/1383052660979425280/photo/1,downloaded_images/twitter_1383052660979425280.jpg,Did you know that my nickname is Rat because I look like one when my hair's cut?
130,https://twitter.com/AltPhinny/status/1383052723269013505/photo/1,downloaded_images/twitter_1383052723269013505.jpg,I'm very confused at the moment
131,https://twitter.com/AltPhinny/status/1383052813018746888/photo/1,downloaded_images/twitter_1383052813018746888.jpg,Get that camera out of my face!
132,https://twitter.com/AltPhinny/status/1383053058708533250/photo/1,downloaded_images/twitter_1383053058708533250.jpg,The other Rat and I love doing everything together
133,https://twitter.com/AltPhinny/status/1383053116795465733/photo/1,downloaded_images/twitter_1383053116795465733.jpg,Something we all have in common is the need to sleep
134,https://twitter.com/AltPhinny/status/1383053230872084485/photo/1,downloaded_images/twitter_1383053230872084485.jpg,I'M BEING USED AS A PILLOW!
135,https://twitter.com/AltPhinny/status/1383053286048198662/photo/1,downloaded_images/twitter_1383053286048198662.jpg,What in the world is going on!
136,https://twitter.com/AltPhinny/status/1383053404445028355/photo/1,downloaded_images/twitter_1383053404445028355.jpg,"Ok, that is weird, and this is coming from someone who plays with paper plates"
137,https://twitter.com/AltPhinny/status/1383053556886994947/photo/1,downloaded_images/twitter_1383053556886994947.jpg,I'm gonna pretend I'm sleeping until Bad takes his fingers off me
138,https://twitter.com/AltPhinny/status/1383053633642770432/photo/1,downloaded_images/twitter_1383053633642770432.jpg,Who in their right mind eats pickle chips?!
139,https://twitter.com/AltPhinny/status/1383053722616487936/photo/1,downloaded_images/twitter_1383053722616487936.jpg,"Potato chips are just empty calories, and I'm not eating them"
140,https://twitter.com/AltPhinny/status/1383053791898009603/photo/1,downloaded_images/twitter_1383053791898009603.jpg,You see? 
141,https://twitter.com/AltPhinny/status/1383053862349762567/photo/1,downloaded_images/twitter_1383053862349762567.jpg,"I accept any gifts you have for me, "
142,https://twitter.com/AltPhinny/status/1383054121486450689/photo/1,downloaded_images/twitter_1383054121486450689.jpg,Why did Phineas even add this picture to the bot? There's nothing to it
143,https://twitter.com/AltPhinny/status/1383054198640611330/photo/1,downloaded_images/twitter_1383054198640611330.jpg,I'm not a fan of the camera
144,https://twitter.com/AltPhinny/status/1383054365427122182/photo/1,downloaded_images/twitter_1383054365427122182.jpg,I just want to sleep in peace
145,https://twitter.com/AltPhinny/status/1383054437892100100/photo/1,downloaded_images/twitter_1383054437892100100.jpg,I'm getting tired of writing captions
146,https://twitter.com/AltPhinny/status/1383054587339411461/photo/1,downloaded_images/twitter_1383054587339411461.jpg,That is not a mess I want to be a part of
147,https://twitter.com/AltPhinny/status/1383054730201554951/photo/1,downloaded_images/twitter_1383054730201554951.jpg,"Just a blank stare, nothing else"
148,https://twitter.com/AltPhinny/status/1383055337587113986/photo/1,downloaded_images/twitter_1383055337587113986.jpg,I've finally learned to look directly into the lense of the camera
149,https://twitter.com/AltPhinny/status/1383055537399533570/photo/1,downloaded_images/twitter_1383055537399533570.jpg,Why does Phineas keep gathering low-quality images!?
150,https://twitter.com/AltPhinny/status/1383055729154789381/photo/1,downloaded_images/twitter_1383055729154789381.jpg,I love my sweater!
151,https://twitter.com/AltPhinny/status/1383055894016053249/photo/1,downloaded_images/twitter_1383055894016053249.jpg,I don't want to eat my vegetables!
152,https://twitter.com/AltPhinny/status/1383055963905724419/photo/1,downloaded_images/twitter_1383055963905724419.jpg,"Yo, what's up?"
153,https://twitter.com/AltPhinny/status/1383056021514502151/photo/1,downloaded_images/twitter_1383056021514502151.jpg,"Uhhhh, woof"
154,https://twitter.com/AltPhinny/status/1383056076908728331/photo/1,downloaded_images/twitter_1383056076908728331.jpg,I'm just preparing for the snacks
155,https://twitter.com/AltPhinny/status/1383056144327974914/photo/1,downloaded_images/twitter_1383056144327974914.jpg,I'm cuter than the other Rat
156,https://twitter.com/AltPhinny/status/1383056300322521089/photo/1,downloaded_images/twitter_1383056300322521089.jpg,Tilting my head makes me cuter and gets me more snacks
157,https://twitter.com/AltPhinny/status/1383056482980278280/photo/1,downloaded_images/twitter_1383056482980278280.jpg,Who needs blankets when you've got a sweater?
158,https://twitter.com/AltPhinny/status/1383056664937500672/photo/1,downloaded_images/twitter_1383056664937500672.jpg,"Yet another low-quality image, Phineas..."
159,https://twitter.com/AltPhinny/status/1383056748731371520/photo/1,downloaded_images/twitter_1383056748731371520.jpg,I love filters!!
160,https://twitter.com/AltPhinny/status/1383056841052131333/photo/1,downloaded_images/twitter_1383056841052131333.jpg,I know you have snacks, so hand them over peacefully
161,https://twitter.com/AltPhinny/status/1383056944777289730/photo/1,downloaded_images/twitter_1383056944777289730.jpg,I think I'm in need of a good scrub
162,https://twitter.com/AltPhinny/status/1383057143109144576/photo/1,downloaded_images/twitter_1383057143109144576.jpg,Is there something for me?!
